top - 14:00:41 up 43 min,  1 user,  load average: 0.74, 0.68, 0.64
Tasks: 303 total,   2 running, 284 sleeping,   0 stopped,  17 zombie
%Cpu(s):  7.0 us,  2.3 sy,  0.0 ni, 89.9 id,  0.0 wa,  0.0 hi,  0.8 si,  0.0 st
MiB Mem :  15733.1 total,   8632.4 free,   2789.9 used,   4310.8 buff/cache
MiB Swap:   2048.0 total,   2048.0 free,      0.0 used.  11764.6 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
    308 root      19  -1   68964  31064  29404 S   0.0   0.2   0:00.70 systemd+
    303 root       0 -20       0      0      0 I   0.0   0.0   0:00.09 kworker+
    280 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
    271 root       0 -20       0      0      0 I   0.0   0.0   0:00.17 kworker+
    266 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rs+
    265 root      20   0       0      0      0 S   0.0   0.0   0:00.31 jbd2/nv+
    246 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-de+
    245 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-re+
    244 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvme-wq
    238 root     -51   0       0      0      0 S   0.0   0.0   0:00.98 irq/146+
    237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    236 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    235 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tm+
    234 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh+
    233 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/144+
    232 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/144+
    230 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker+
    228 root       0 -20       0      0      0 I   0.0   0.0   0:00.06 kworker+
    221 root       0 -20       0      0      0 I   0.0   0.0   0:00.07 kworker+
    167 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger+
    160 root       0 -20       0      0      0 I   0.0   0.0   0:01.96 kworker+
    159 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 zswap-s+
    156 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
    147 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_ad+
    146 root       0 -20       0      0      0 I   0.0   0.0   0:00.13 kworker+
    145 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mld
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 vfio-ir+
    141 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_th+
